Title,Streaming Platform,Release Date,Duration,Genres,Award Wins,Award Nominations,Metascore,Critic Category,Critic positive counts,Critic positive percentage,Critic mixed counts,Critic mixed percentage,Critic negative counts,Critic negative percentage,User Score Category,User Score,User positive counts,User positive percentage,User mixed counts,User mixed percentage,User negative counts,User negative percentage
The Order,Twentieth Century Fox Film Corporation,"Sep 5, 2003",1 h 42 m,"['Horror', 'Mystery', 'Thriller']",0,0,21,Generally Unfavorable,0,0,4,24,13,76,Generally Unfavorable,3.6,2,15,4,31,7,54
The Clapper,Momentum Pictures,"Jan 26, 2018",1 h 29 m,"['Comedy', 'Drama']",0,1,21,Generally Unfavorable,1,9,1,9,9,82,Generally Favorable,6.2,6,50,4,33,2,17
Just Getting Started,Broad Green Pictures,"Dec 8, 2017",1 h 31 m,"['Comedy', 'Crime']",0,0,21,Generally Unfavorable,0,0,2,20,8,80,Generally Unfavorable,3.8,4,15,8,31,14,54
Summer Catch,Warner Bros. Pictures,"Aug 24, 2001",1 h 48 m,"['Comedy', 'Drama', 'Romance', 'Sport']",0,1,21,Generally Unfavorable,1,4,7,28,17,68,Mixed or Average,5.3,5,42,3,25,4,33
Life Itself,Amazon Studios,"Sep 21, 2018",1 h 57 m,"['Drama', 'Romance']",2,5,21,Generally Unfavorable,1,3,8,21,30,77,Mixed or Average,5.7,26,50,6,12,20,38
Ghost Team One,Film Arcade,"Oct 11, 2013",1 h 47 m,"['Comedy', 'Horror']",0,0,21,Generally Unfavorable,1,14,1,14,5,71,Mixed or Average,5.1,2,25,4,50,2,25
Bratz,Lionsgate,"Aug 3, 2007",1 h 50 m,"['Comedy', 'Family', 'Music']",0,5,21,Generally Unfavorable,1,6,6,33,11,61,Generally Unfavorable,3.5,9,26,3,9,22,65
3000 Miles to Graceland,Warner Bros. Pictures,"Feb 23, 2001",2 h 5 m,"['Action', 'Comedy', 'Crime', 'Thriller']",0,12,21,Generally Unfavorable,3,10,7,23,20,67,Mixed or Average,5.0,10,29,16,46,9,26
Highlander: Endgame,Dimension Films,"Sep 1, 2000",1 h 27 m,"['Action', 'Adventure', 'Fantasy', 'Sci-Fi']",0,1,21,Generally Unfavorable,1,6,3,19,12,75,Mixed or Average,5.4,13,41,9,28,10,31
Bigger Than the Sky,Metro-Goldwyn-Mayer (MGM),"Feb 18, 2005",1 h 46 m,"['Comedy', 'Drama', 'Romance']",0,0,21,Generally Unfavorable,0,0,2,20,8,80,Universal Acclaim,9.3,6,100,0,0,0,0
Crazy on the Outside,Freestyle Releasing,"Jan 8, 2010",1 h 36 m,"['Comedy', 'Crime']",0,0,21,Generally Unfavorable,0,0,3,43,4,57,Mixed or Average,5.0,4,36,3,27,4,36
An American Carol,Vivendi Entertainment,"Oct 3, 2008",1 h 23 m,"['Comedy', 'Fantasy']",0,0,20,Generally Unfavorable,0,0,5,42,7,58,Generally Favorable,6.3,13,54,6,25,5,21
Accidental Love,Millennium Entertainment,"Mar 20, 2015",1 h 40 m,"['Comedy', 'Romance']",0,0,20,Generally Unfavorable,0,0,5,38,8,62,Mixed or Average,4.4,9,29,5,16,17,55
Spinning Into Butter,Screen Media Films,"Mar 27, 2009",1 h 26 m,['Drama'],0,1,20,Generally Unfavorable,1,9,2,18,8,73,Universal Acclaim,8.1,7,70,2,20,1,10
Hoodwinked Too! Hood VS. Evil,"Weinstein Company, The","Apr 29, 2011",1 h 31 m,"['Animation', 'Adventure', 'Comedy', 'Crime', 'Family', 'Fantasy', 'Mystery']",1,2,20,Generally Unfavorable,0,0,6,29,15,71,Mixed or Average,5.1,27,36,17,22,32,42
The Informers,Senator Distribution,"Apr 24, 2009",1 h 38 m,"['Crime', 'Drama', 'Thriller']",0,0,20,Generally Unfavorable,2,8,4,16,19,76,Generally Favorable,6.9,9,60,5,33,1,7
A Haunted House,Open Road Films (II),"Jan 11, 2013",1 h 26 m,"['Comedy', 'Fantasy', 'Horror']",1,2,20,Generally Unfavorable,1,6,2,13,13,81,Mixed or Average,5.1,74,41,45,25,62,34
Asking for It,Saban Films,"Mar 4, 2022",1 h 37 m,['Thriller'],1,1,20,Generally Unfavorable,0,0,1,14,6,86,Mixed or Average,4.4,1,20,2,40,2,40
Would You Rather,IFC Midnight,"Feb 8, 2013",1 h 33 m,"['Horror', 'Thriller']",0,1,20,Generally Unfavorable,1,9,4,36,6,55,Mixed or Average,5.9,46,46,36,36,19,19
Saw V,Lionsgate,"Oct 24, 2008",1 h 32 m,"['Horror', 'Thriller']",1,3,20,Generally Unfavorable,0,0,4,31,9,69,Mixed or Average,5.6,67,31,102,48,44,21
Expelled: No Intelligence Allowed,Rocky Mountain Pictures,"Apr 18, 2008",1 h 30 m,['Documentary'],3,3,20,Generally Unfavorable,0,0,2,15,11,85,Generally Unfavorable,2.4,5,21,1,4,18,75
Son of the Mask,New Line Cinema,"Feb 18, 2005",1 h 34 m,"['Comedy', 'Family', 'Fantasy']",7,19,20,Generally Unfavorable,0,0,5,19,21,81,Generally Unfavorable,2.2,15,11,15,11,111,79
The Last Airbender,Paramount Pictures,"Jul 1, 2010",1 h 43 m,"['Action', 'Adventure', 'Family', 'Fantasy']",5,13,20,Generally Unfavorable,1,3,9,27,23,70,Generally Unfavorable,2.1,78,11,84,11,572,78
Joe Dirt,Columbia Pictures,"Apr 11, 2001",1 h 31 m,"['Adventure', 'Comedy', 'Drama']",1,4,20,Generally Unfavorable,1,4,7,27,18,69,Generally Favorable,6.6,43,54,21,27,15,19
Whatever It Takes,Columbia Pictures,"Mar 24, 2000",1 h 34 m,"['Comedy', 'Drama', 'Romance']",0,3,20,Generally Unfavorable,0,0,7,32,15,68,Mixed or Average,4.7,2,22,4,44,3,33
Marci X,Paramount Pictures,"Aug 22, 2003",1 h 24 m,"['Comedy', 'Music']",0,4,20,Generally Unfavorable,1,6,2,12,14,82,Mixed or Average,4.8,3,38,2,25,3,38
Soul Survivors,Artisan Entertainment,"Sep 7, 2001",1 h 24 m,"['Horror', 'Mystery', 'Thriller']",0,0,20,Generally Unfavorable,0,0,2,18,9,82,Mixed or Average,4.6,2,14,8,57,4,29
Corky Romano,Buena Vista Pictures,"Oct 12, 2001",1 h 26 m,"['Comedy', 'Crime']",0,1,20,Generally Unfavorable,1,4,5,22,17,74,Mixed or Average,4.6,5,28,6,33,7,39
Digimon: Digital Monsters,Fox Family Films,"Oct 6, 2000",1 h 22 m,"['Animation', 'Action', 'Adventure', 'Family', 'Sci-Fi']",1,2,20,Generally Unfavorable,0,0,2,12,15,88,Generally Favorable,6.6,35,63,8,14,13,23
Assassin's Bullet,ARC Entertainment (II),"Aug 3, 2012",1 h 29 m,"['Action', 'Adventure', 'Comedy', 'Crime', 'Mystery', 'Thriller']",0,0,20,Generally Unfavorable,0,0,3,27,8,73,Mixed or Average,4.4,1,20,3,60,1,20
The Cat in the Hat,Universal Pictures,"Nov 21, 2003",1 h 22 m,"['Adventure', 'Comedy', 'Family', 'Fantasy']",5,25,19,Overwhelming Dislike,1,3,9,24,27,73,Mixed or Average,4.4,70,35,25,12,107,53
All the Queen's Men,Strand Releasing,"Oct 25, 2002",1 h 39 m,"['Action', 'Comedy', 'Drama', 'War']",0,0,19,Overwhelming Dislike,1,7,2,14,11,79,Universal Acclaim,8.8,15,88,1,6,1,6
Thomas and the Magic Railroad,Destination Films,"Jul 26, 2000",1 h 25 m,"['Adventure', 'Comedy', 'Family', 'Fantasy']",0,2,19,Overwhelming Dislike,1,4,7,30,15,65,Generally Favorable,6.2,17,47,10,28,9,25
Reprisal,Lionsgate Premiere,"Aug 31, 2018",1 h 29 m,"['Action', 'Drama', 'Thriller']",0,0,19,Overwhelming Dislike,0,0,1,11,8,89,Generally Favorable,7.7,19,68,6,21,3,11
Underclassman,Miramax Films,"Sep 2, 2005",1 h 35 m,"['Action', 'Comedy', 'Crime', 'Drama', 'Thriller']",0,0,19,Overwhelming Dislike,0,0,5,20,20,80,Generally Favorable,7.5,21,70,2,7,7,23
Old Dogs,Walt Disney Studios Motion Pictures,"Nov 25, 2009",1 h 28 m,"['Comedy', 'Family']",0,5,19,Overwhelming Dislike,1,5,5,23,16,73,Mixed or Average,5.5,34,39,24,28,29,33
Good Luck Chuck,Lionsgate,"Sep 21, 2007",1 h 36 m,"['Comedy', 'Romance']",1,4,19,Overwhelming Dislike,0,0,7,30,16,70,Mixed or Average,4.4,12,22,21,38,22,40
To Save a Life,Samuel Goldwyn Films,"Jan 22, 2010",2 h,['Drama'],0,2,19,Overwhelming Dislike,1,13,0,0,7,88,Generally Favorable,6.8,9,53,5,29,3,18
Grown Ups 2,Columbia Pictures,"Jul 12, 2013",1 h 41 m,['Comedy'],1,13,19,Overwhelming Dislike,1,4,3,11,24,86,Generally Unfavorable,3.3,85,21,81,20,239,59
Cavemen,Well Go USA Entertainment,"Feb 7, 2014",1 h 28 m,['Comedy'],0,0,19,Overwhelming Dislike,0,0,2,25,6,75,Mixed or Average,4.0,3,23,4,31,6,46
The Lovers,IFC Films,"Mar 13, 2015",1 h 49 m,"['Action', 'Adventure', 'Romance', 'Sci-Fi']",0,0,19,Overwhelming Dislike,0,0,1,13,7,88,Mixed or Average,4.1,1,11,3,33,5,56
The Covenant,Screen Gems,"Sep 8, 2006",1 h 37 m,"['Adventure', 'Fantasy', 'Horror', 'Mystery', 'Thriller']",0,0,19,Overwhelming Dislike,1,6,1,6,14,88,Mixed or Average,4.3,8,21,14,36,17,44
Dumb and Dumberer: When Harry Met Lloyd,New Line Cinema,"Jun 13, 2003",1 h 25 m,['Comedy'],1,6,19,Overwhelming Dislike,1,4,3,11,24,86,Generally Unfavorable,3.2,9,17,10,19,35,65
Replicas,Entertainment Studios Motion Pictures,"Jan 11, 2019",1 h 47 m,"['Action', 'Drama', 'Sci-Fi', 'Thriller']",0,1,19,Overwhelming Dislike,0,0,2,13,13,87,Mixed or Average,4.7,26,28,33,36,33,36
"After Fall, Winter",FilmBuff,"Jan 27, 2012",2 h,"['Drama', 'Romance']",1,1,19,Overwhelming Dislike,0,0,1,14,6,86,Mixed or Average,5.3,3,50,1,17,2,33
The Ultimate Life,20th Century Fox Home Entertainment,"Sep 6, 2013",1 h 45 m,"['Drama', 'Romance']",0,0,19,Overwhelming Dislike,0,0,0,0,7,100,Mixed or Average,5.1,2,29,3,43,2,29
The Prince,Lionsgate,"Aug 22, 2014",1 h 33 m,"['Action', 'Thriller']",0,1,19,Overwhelming Dislike,0,0,2,29,5,71,Generally Unfavorable,3.6,6,19,9,29,16,52
Kite,Anchor Bay Entertainment,"Oct 10, 2014",1 h 30 m,"['Action', 'Crime', 'Thriller']",0,4,19,Overwhelming Dislike,0,0,1,14,6,86,Generally Unfavorable,3.6,8,28,3,10,18,62
Downloading Nancy,Strand Releasing,"Jun 5, 2009",1 h 42 m,"['Drama', 'Thriller']",2,4,19,Overwhelming Dislike,0,0,1,9,10,91,Generally Favorable,7.4,4,80,0,0,1,20
Halloween: Resurrection,Dimension Films,"Jul 12, 2002",1 h 34 m,"['Horror', 'Thriller']",1,2,19,Overwhelming Dislike,0,0,3,18,14,82,Generally Unfavorable,3.5,27,18,39,25,87,57
Ballistic: Ecks vs. Sever,Warner Bros. Pictures,"Sep 20, 2002",1 h 31 m,"['Action', 'Crime', 'Mystery', 'Sci-Fi', 'Thriller']",0,5,19,Overwhelming Dislike,0,0,5,19,21,81,Mixed or Average,4.4,18,35,8,15,26,50
Surviving Christmas,DreamWorks Distribution,"Oct 22, 2004",1 h 31 m,"['Comedy', 'Romance']",2,7,19,Overwhelming Dislike,1,3,6,21,22,76,Mixed or Average,5.8,8,42,7,37,4,21
Supernova,United Artists,"Jan 14, 2000",1 h 30 m,"['Horror', 'Sci-Fi', 'Thriller']",0,0,19,Overwhelming Dislike,1,5,1,5,17,89,Mixed or Average,5.5,8,29,15,54,5,18
Polar,Netflix,"Jan 25, 2019",1 h 58 m,"['Action', 'Crime', 'Thriller']",0,1,19,Overwhelming Dislike,2,17,2,17,8,67,Generally Favorable,6.4,149,60,48,19,53,21
Valentine,Warner Bros. Pictures,"Feb 2, 2001",1 h 36 m,"['Horror', 'Mystery', 'Thriller']",2,5,18,Overwhelming Dislike,1,6,3,18,13,76,Mixed or Average,5.6,20,42,14,29,14,29
BloodRayne,Romar Entertainment,"Jan 6, 2006",1 h 35 m,"['Action', 'Fantasy', 'Horror']",4,15,18,Overwhelming Dislike,0,0,2,15,11,85,Generally Unfavorable,2.2,10,14,5,7,59,80
Kirk Cameron's Saving Christmas,Samuel Goldwyn Films,"Nov 14, 2014",1 h 20 m,"['Comedy', 'Family']",4,6,18,Overwhelming Dislike,0,0,2,22,7,78,Overwhelming Dislike,1.2,9,10,0,0,78,90
Ultraviolet,Screen Gems,"Mar 3, 2006",1 h 28 m,"['Action', 'Sci-Fi']",1,3,18,Overwhelming Dislike,0,0,3,16,16,84,Mixed or Average,4.4,28,27,28,27,49,47
Gigli,Columbia Pictures,"Aug 1, 2003",2 h 1 m,"['Comedy', 'Crime', 'Romance']",12,25,18,Overwhelming Dislike,1,3,6,16,30,81,Generally Unfavorable,3.3,12,18,13,19,43,63
Company Man,Intermedia,"Feb 16, 2001",1 h 26 m,['Comedy'],0,0,18,Overwhelming Dislike,1,5,2,10,18,86,Generally Favorable,7.3,2,50,2,50,0,0
Swept Away,Screen Gems,"Oct 11, 2002",1 h 29 m,"['Comedy', 'Romance']",8,16,18,Overwhelming Dislike,2,7,4,15,21,78,Mixed or Average,5.6,36,53,7,10,25,37
The Vanishing Of Sidney Hall,A24,"Mar 2, 2018",1 h 59 m,"['Drama', 'Mystery', 'Romance']",0,0,18,Overwhelming Dislike,0,0,0,0,11,100,Generally Favorable,7.1,24,75,3,9,5,16
Who's Your Caddy?,Dimension Films,"Jul 27, 2007",1 h 33 m,"['Comedy', 'Sport']",1,2,18,Overwhelming Dislike,0,0,2,18,9,82,Generally Unfavorable,3.6,4,29,1,7,9,64
Behaving Badly,Vertical Entertainment,"Aug 1, 2014",1 h 37 m,"['Comedy', 'Romance']",0,0,18,Overwhelming Dislike,0,0,1,14,6,86,Generally Favorable,6.5,41,61,5,7,21,31
The Wash,Lions Gate Films,"Nov 14, 2001",1 h 33 m,['Comedy'],0,0,18,Overwhelming Dislike,1,7,2,13,12,80,Mixed or Average,5.5,3,38,3,38,2,25
Serving Sara,Paramount Pictures,"Aug 23, 2002",1 h 39 m,"['Comedy', 'Romance']",0,0,18,Overwhelming Dislike,0,0,4,15,22,85,Generally Favorable,6.4,8,57,3,21,3,21
The Fanatic,Quiver Distribution,"Aug 30, 2019",1 h 28 m,"['Crime', 'Drama', 'Mystery', 'Thriller']",2,4,18,Overwhelming Dislike,3,16,2,11,14,74,Mixed or Average,4.6,15,36,8,19,19,45
The Darkest Hour,Summit Entertainment,"Dec 25, 2011",1 h 29 m,"['Action', 'Adventure', 'Horror', 'Sci-Fi', 'Thriller']",0,1,18,Overwhelming Dislike,0,0,2,20,8,80,Mixed or Average,4.9,55,30,59,32,68,37
Kickin It Old Skool,Yari Film Group Releasing,"Apr 27, 2007",1 h 48 m,"['Comedy', 'Sport']",0,0,18,Overwhelming Dislike,0,0,3,21,11,79,Mixed or Average,4.8,4,31,5,38,4,31
The Devil Inside,Paramount Pictures,"Jan 6, 2012",1 h 27 m,['Horror'],2,4,18,Overwhelming Dislike,0,0,7,37,12,63,Generally Unfavorable,2.8,21,13,29,18,110,69
Movie 43,Relativity Media,"Jan 25, 2013",1 h 34 m,['Comedy'],4,8,18,Overwhelming Dislike,1,4,4,17,18,78,Generally Unfavorable,3.2,99,22,62,14,288,64
Boat Trip,Motion Picture Corporation of America (MPCA),"Mar 21, 2003",1 h 34 m,['Comedy'],1,8,18,Overwhelming Dislike,2,7,4,14,22,79,Mixed or Average,5.8,12,46,8,31,6,23
The Ridiculous 6,Netflix,"Dec 11, 2015",1 h 59 m,"['Action', 'Adventure', 'Comedy', 'Western']",0,0,18,Overwhelming Dislike,0,0,1,8,11,92,Generally Unfavorable,3.8,61,30,32,16,108,54
The Nutcracker,Freestyle Releasing,"Nov 24, 2010",1 h 50 m,"['Action', 'Family', 'Fantasy', 'Musical']",0,2,18,Overwhelming Dislike,1,6,3,17,14,78,Generally Unfavorable,3.1,10,25,6,15,24,60
