Title,Streaming Platform,Release Date,Duration,Genres,Award Wins,Award Nominations,Metascore,Critic Category,Critic positive counts,Critic positive percentage,Critic mixed counts,Critic mixed percentage,Critic negative counts,Critic negative percentage,User Score Category,User Score,User positive counts,User positive percentage,User mixed counts,User mixed percentage,User negative counts,User negative percentage
Loosies,IFC Films,"Jan 11, 2012",1 h 28 m,"['Comedy', 'Crime', 'Romance']",0,0,35,Generally Unfavorable,2,18,4,36,5,45,Generally Favorable,6.3,5,63,2,25,1,13
The Last Exorcism Part II,CBS Films,"Mar 1, 2013",1 h 28 m,"['Horror', 'Thriller']",1,3,35,Generally Unfavorable,0,0,12,60,8,40,Generally Unfavorable,3.7,11,18,21,34,30,48
Kraven the Hunter,Columbia Pictures,"Dec 13, 2024",2 h 7 m,"['Action', 'Adventure', 'Thriller']",0,5,35,Generally Unfavorable,1,2,24,59,16,39,Mixed or Average,4.7,74,31,72,31,89,38
What's Your Number?,Twentieth Century Fox Film Corporation,"Sep 30, 2011",1 h 46 m,"['Comedy', 'Romance']",1,1,35,Generally Unfavorable,3,10,17,55,11,35,Mixed or Average,5.6,24,32,37,49,14,19
Mirrors,Twentieth Century Fox Film Corporation,"Aug 15, 2008",1 h 50 m,"['Horror', 'Mystery']",0,2,35,Generally Unfavorable,1,8,6,46,6,46,Mixed or Average,5.9,40,40,43,43,17,17
Hitman,Twentieth Century Fox Film Corporation,"Nov 21, 2007",1 h 40 m,"['Action', 'Crime', 'Thriller']",2,2,35,Generally Unfavorable,3,14,8,36,11,50,Mixed or Average,5.9,91,46,70,35,37,19
Lullaby,ARC Entertainment (II),"Jun 13, 2014",1 h 57 m,['Drama'],1,2,35,Generally Unfavorable,3,21,7,50,4,29,Mixed or Average,5.6,2,40,1,20,2,40
Family Weekend,ARC Entertainment (II),"Mar 29, 2013",1 h 45 m,"['Comedy', 'Drama']",0,0,35,Generally Unfavorable,1,14,2,29,4,57,Generally Unfavorable,3.7,2,15,5,38,6,46
Primeval,Buena Vista Pictures,"Jan 12, 2007",1 h 33 m,"['Action', 'Adventure', 'Crime', 'Horror', 'War']",0,0,35,Generally Unfavorable,1,9,3,27,7,64,Generally Favorable,6.6,8,50,5,31,3,19
Happy Tears,Roadside Attractions,"Feb 19, 2010",1 h 35 m,"['Comedy', 'Drama']",0,1,35,Generally Unfavorable,2,12,6,35,9,53,Mixed or Average,5.0,3,43,1,14,3,43
