Title,Streaming Platform,Release Date,Duration,Genres,Award Wins,Award Nominations,Metascore,Critic Category,Critic positive counts,Critic positive percentage,Critic mixed counts,Critic mixed percentage,Critic negative counts,Critic negative percentage,User Score Category,User Score,User positive counts,User positive percentage,User mixed counts,User mixed percentage,User negative counts,User negative percentage
Last Life in the Universe,Palm Pictures,"Aug 6, 2004",1 h 52 m,"['Comedy', 'Drama', 'Romance']",11,23,73,Generally Favorable,13,87,2,13,0,0,Universal Acclaim,8.9,14,100,0,0,0,0
I'm Not Scared,Miramax Films,"Apr 9, 2004",1 h 48 m,"['Crime', 'Drama', 'Mystery', 'Thriller']",8,20,73,Generally Favorable,30,88,4,12,0,0,Generally Favorable,6.6,9,60,4,27,2,13
Super Size Me,Roadside Attractions,"May 7, 2004",1 h 40 m,['Documentary'],2,5,73,Generally Favorable,32,86,4,11,1,3,Generally Favorable,6.9,77,78,16,16,6,6
Le Week-End,Music Box Films,"Mar 14, 2014",1 h 33 m,"['Comedy', 'Drama', 'Romance']",2,8,73,Generally Favorable,23,79,6,21,0,0,Generally Favorable,7.0,21,64,10,30,2,6
Exiled,Magnolia Pictures,"Aug 31, 2007",1 h 50 m,"['Action', 'Crime', 'Drama', 'Thriller']",4,13,73,Generally Favorable,20,91,2,9,0,0,Generally Favorable,6.9,4,57,2,29,1,14
Five Fingers For Marseilles,Uncork'd Entertainment,"Sep 7, 2018",2 h,"['Drama', 'Thriller', 'Western']",8,18,73,Generally Favorable,10,83,2,17,0,0,Generally Favorable,7.8,10,83,2,17,0,0
Gilbert,Gravitas Ventures,"Nov 3, 2017",1 h 34 m,"['Documentary', 'Biography', 'Comedy']",1,2,73,Generally Favorable,8,100,0,0,0,0,Universal Acclaim,8.8,4,100,0,0,0,0
The Platform,Netflix,"Mar 20, 2020",1 h 34 m,"['Horror', 'Mystery', 'Sci-Fi', 'Thriller']",4,17,73,Generally Favorable,13,87,2,13,0,0,Generally Favorable,6.9,257,72,64,18,38,11
Montana Story,Bleecker Street Media,"May 13, 2022",1 h 53 m,['Drama'],0,3,73,Generally Favorable,20,91,2,9,0,0,Generally Favorable,6.5,6,60,3,30,1,10
Emergency,Amazon Studios,"May 20, 2022",1 h 45 m,"['Comedy', 'Drama', 'Thriller']",2,5,73,Generally Favorable,21,78,6,22,0,0,Generally Favorable,7.2,26,74,5,14,4,11
