Title,Streaming Platform,Release Date,Duration,Genres,Award Wins,Award Nominations,Metascore,Critic Category,Critic positive counts,Critic positive percentage,Critic mixed counts,Critic mixed percentage,Critic negative counts,Critic negative percentage,User Score Category,User Score,User positive counts,User positive percentage,User mixed counts,User mixed percentage,User negative counts,User negative percentage
Feels Good Man,,"Sep 4, 2020",1 h 32 m,"['Documentary', 'Comedy']",3,8,79,Generally Favorable,17,94,1,6,0,0,Generally Favorable,7.9,12,86,2,14,0,0
What Time Is It Over There?,Wellspring Media,"Jan 11, 2002",1 h 56 m,"['Drama', 'Romance']",7,12,79,Generally Favorable,18,90,1,5,1,5,Mixed or Average,5.3,5,56,1,11,3,33
Guillermo Del Toro’s Pinocchio,Netflix,"Nov 9, 2022",1 h 57 m,"['Animation', 'Adventure', 'Drama', 'Family', 'Fantasy', 'Musical']",7,13,79,Generally Favorable,43,88,6,12,0,0,Universal Acclaim,8.1,267,87,27,9,13,4
La Llorona,Shudder,"Aug 6, 2020",1 h 36 m,"['Crime', 'Drama', 'Horror', 'Thriller', 'War']",6,21,79,Generally Favorable,14,100,0,0,0,0,Generally Favorable,6.9,12,60,6,30,2,10
The Pigeon Tunnel,Apple TV+,"Oct 20, 2023",1 h 32 m,"['Documentary', 'Biography']",3,4,79,Generally Favorable,18,90,2,10,0,0,Generally Favorable,6.9,7,58,4,33,1,8
Night Comes On,Samuel Goldwyn Films,"Aug 3, 2018",1 h 26 m,['Drama'],5,7,79,Generally Favorable,14,93,1,7,0,0,Generally Favorable,6.3,8,62,3,23,2,15
Dune: Part Two,Warner Bros.,"Mar 1, 2024",3 h 15 m,"['Action', 'Adventure', 'Drama', 'Sci-Fi']",6,22,79,Generally Favorable,54,87,7,11,1,2,Universal Acclaim,8.4,1.4k,87,103,6,109,7
Summer Palace,Palm Pictures,"Jan 18, 2008",2 h 38 m,"['Drama', 'History', 'Romance']",0,1,79,Generally Favorable,10,83,2,17,0,0,Universal Acclaim,9.8,5,100,0,0,0,0
Drive,FilmDistrict,"Sep 16, 2011",1 h 40 m,"['Action', 'Drama']",6,18,79,Generally Favorable,38,88,5,12,0,0,Generally Favorable,8.0,1.4k,84,139,8,123,7
Deep Sea,Warner Bros. Pictures,"Mar 3, 2006",41 m,"['Documentary', 'Unknown']",2,2,79,Generally Favorable,9,90,1,10,0,0,Universal Acclaim,9.0,6,86,1,14,0,0
The Fighter,Paramount Pictures,"Dec 10, 2010",1 h 55 m,"['Action', 'Biography', 'Drama', 'Sport']",9,27,79,Generally Favorable,35,85,6,15,0,0,Generally Favorable,8.0,471,89,45,9,12,2
Jodorowsky's Dune,Sony Pictures Classics,"Mar 21, 2014",1 h 30 m,['Documentary'],6,8,79,Generally Favorable,29,94,2,6,0,0,Universal Acclaim,8.2,65,93,4,6,1,1
The Five Obstructions,Koch Lorber Films,"May 26, 2004",1 h 30 m,['Documentary'],2,3,79,Generally Favorable,20,91,2,9,0,0,Generally Favorable,7.1,10,77,2,15,1,8
Beasts of No Nation,Netflix,"Oct 16, 2015",2 h 17 m,"['Drama', 'War']",9,19,79,Generally Favorable,27,90,1,3,2,7,Universal Acclaim,8.1,226,88,18,7,12,5
Apollo 10½: A Space Age Childhood,Netflix,"Mar 25, 2022",1 h 37 m,"['Animation', 'Adventure', 'Drama', 'History']",1,6,79,Generally Favorable,35,90,4,10,0,0,Generally Favorable,7.1,42,81,7,13,3,6
Look Into My Eyes,,"Sep 6, 2024",1 h 48 m,['Documentary'],1,5,79,Generally Favorable,15,83,3,17,0,0,Generally Favorable,6.1,5,63,1,13,2,25
Tu Dors Nicole,Kino Lorber,"May 29, 2015",1 h 33 m,"['Comedy', 'Drama']",5,20,79,Generally Favorable,11,92,1,8,0,0,Generally Favorable,6.6,6,67,1,11,2,22
Iron Monkey,Miramax Films,"Oct 12, 2001",1 h 25 m,"['Action', 'Crime', 'Drama']",0,2,79,Generally Favorable,25,89,3,11,0,0,Generally Favorable,7.6,20,83,2,8,2,8
Petrov's Flu,Strand Releasing,"Sep 23, 2022",2 h 25 m,"['Drama', 'Sci-Fi']",1,10,79,Generally Favorable,15,83,3,17,0,0,Generally Favorable,6.9,8,73,1,9,2,18
Girls Will Be Girls,,"Sep 13, 2024",1 h 30 m,"['Drama', 'Romance']",10,14,79,Generally Favorable,13,100,0,0,0,0,Mixed or Average,5.4,3,60,0,0,2,40
Monster,Clover Films,"Nov 22, 2023",2 h 6 m,"['Drama', 'Thriller']",1,21,79,Generally Favorable,36,90,4,10,0,0,Universal Acclaim,8.3,55,87,7,11,1,2
The Ballad of Buster Scruggs,Netflix,"Nov 9, 2018",2 h 13 m,"['Comedy', 'Drama', 'Musical', 'Mystery', 'Western']",1,13,79,Generally Favorable,45,94,3,6,0,0,Generally Favorable,7.4,281,78,57,16,22,6
Godzilla,Distributors Corporation of America (DCA),"May 7, 2004",1 h 38 m,"['Horror', 'Sci-Fi']",4,5,79,Generally Favorable,18,90,1,5,1,5,Universal Acclaim,8.2,105,86,12,10,5,4
Disclosure,Netflix,"Jun 19, 2020",1 h 48 m,['Documentary'],3,5,79,Generally Favorable,9,90,1,10,0,0,Generally Favorable,6.6,15,65,2,9,6,26
The Visitor,Anchor Bay Entertainment,"Apr 11, 2008",1 h 44 m,['Drama'],5,8,79,Generally Favorable,26,90,3,10,0,0,Generally Favorable,7.9,32,86,5,14,0,0
Green Room,A24,"Apr 15, 2016",1 h 35 m,"['Crime', 'Horror', 'Music', 'Thriller']",4,12,79,Generally Favorable,36,86,5,12,1,2,Generally Favorable,7.2,269,77,59,17,20,6
