Title,Streaming Platform,Release Date,Duration,Genres,Award Wins,Award Nominations,Metascore,Critic Category,Critic positive counts,Critic positive percentage,Critic mixed counts,Critic mixed percentage,Critic negative counts,Critic negative percentage,User Score Category,User Score,User positive counts,User positive percentage,User mixed counts,User mixed percentage,User negative counts,User negative percentage
Bad Santa,Dimension Films,"Nov 26, 2003",1 h 31 m,"['Comedy', 'Crime', 'Drama']",0,5,70,Generally Favorable,27,71,7,18,4,11,Generally Favorable,7.1,124,75,28,17,13,8
Waking Sleeping Beauty,Walt Disney Studios Motion Pictures,"Mar 26, 2010",1 h 26 m,"['Documentary', 'Drama', 'History']",2,3,70,Generally Favorable,13,72,5,28,0,0,Universal Acclaim,8.4,11,85,2,15,0,0
Killing Them Safely,IFC Films,"Nov 27, 2015",1 h 40 m,"['Documentary', 'Drama']",0,2,70,Generally Favorable,7,88,0,0,1,13,Mixed or Average,6.0,8,67,1,8,3,25
The Nile Hilton Incident,Strand Releasing,"Aug 11, 2017",1 h 46 m,"['Crime', 'Drama', 'Mystery', 'Thriller']",9,12,70,Generally Favorable,6,75,2,25,0,0,Generally Favorable,7.5,16,84,3,16,0,0
Jethica,Cinedigm,"Jan 13, 2023",1 h 12 m,"['Comedy', 'Drama', 'Thriller']",3,3,70,Generally Favorable,6,75,2,25,0,0,Mixed or Average,4.8,1,20,2,40,2,40
It Might Get Loud,Sony Pictures Classics,"Aug 14, 2009",1 h 38 m,"['Documentary', 'Music']",0,6,70,Generally Favorable,21,78,5,19,1,4,Universal Acclaim,8.1,18,90,1,5,1,5
Color Out of Space,RLJE Films,"Jan 24, 2020",1 h 51 m,"['Horror', 'Mystery', 'Sci-Fi', 'Thriller']",3,11,70,Generally Favorable,20,71,8,29,0,0,Generally Favorable,6.2,101,56,41,23,39,22
District B13,Magnolia Pictures,"Jun 2, 2006",1 h 24 m,"['Action', 'Crime', 'Sci-Fi', 'Thriller']",1,2,70,Generally Favorable,23,82,5,18,0,0,Generally Favorable,7.3,43,75,12,21,2,4
Yellow Rose,Sony Pictures Entertainment,"Oct 9, 2020",1 h 34 m,"['Drama', 'Music']",9,9,70,Generally Favorable,10,71,4,29,0,0,Generally Favorable,7.3,3,43,4,57,0,0
Warlords,Magnet Releasing,"Apr 2, 2010",2 h 6 m,"['Action', 'Adventure', 'Drama', 'History', 'Romance', 'War']",12,30,70,Generally Favorable,12,75,3,19,1,6,Generally Favorable,6.2,15,54,7,25,6,21
The Peanut Butter Falcon,Roadside Attractions,"Aug 9, 2019",1 h 37 m,"['Adventure', 'Comedy', 'Drama']",7,9,70,Generally Favorable,23,82,5,18,0,0,Generally Favorable,7.6,136,82,22,13,7,4
"Standing Up, Falling Down",Shout! Factory,"Feb 21, 2020",1 h 31 m,"['Comedy', 'Drama']",3,5,70,Generally Favorable,13,87,1,7,1,7,Generally Favorable,6.6,2,40,3,60,0,0
Double Lover,Cohen Media Group,"Feb 14, 2018",1 h 47 m,"['Drama', 'Romance', 'Thriller']",1,4,70,Generally Favorable,15,75,4,20,1,5,Generally Favorable,6.3,11,46,10,42,3,13
The Cleaners,,"Nov 23, 2018",1 h 28 m,['Documentary'],4,4,70,Generally Favorable,5,63,2,25,1,13,Mixed or Average,5.8,3,60,1,20,1,20
Berlin Syndrome,Netflix,"May 26, 2017",1 h 56 m,"['Drama', 'Horror', 'Mystery', 'Thriller']",1,18,70,Generally Favorable,12,71,5,29,0,0,Mixed or Average,5.9,28,57,13,27,8,16
The Day Shall Come,IFC Films,"Sep 27, 2019",1 h 27 m,"['Comedy', 'Crime']",0,0,70,Generally Favorable,18,86,3,14,0,0,Mixed or Average,6.0,5,42,6,50,1,8
I.O.U.S.A.,Roadside Attractions,"Aug 22, 2008",1 h 25 m,['Documentary'],0,3,70,Generally Favorable,14,78,3,17,1,6,Generally Favorable,6.2,3,50,2,33,1,17
