Title,Streaming Platform,Release Date,Duration,Genres,Award Wins,Award Nominations,Metascore,Critic Category,Critic positive counts,Critic positive percentage,Critic mixed counts,Critic mixed percentage,Critic negative counts,Critic negative percentage,User Score Category,User Score,User positive counts,User positive percentage,User mixed counts,User mixed percentage,User negative counts,User negative percentage
Bears,Disneynature,"Apr 18, 2014",1 h 18 m,"['Documentary', 'Family']",0,2,68,Generally Favorable,18,90,2,10,0,0,Generally Favorable,7.1,25,71,7,20,3,9
Off the Map,Manhattan Pictures International,"Mar 11, 2005",1 h 45 m,['Drama'],2,3,68,Generally Favorable,21,75,4,14,3,11,Mixed or Average,6.0,2,50,1,25,1,25
The Third Murder,Film Movement,"Jul 20, 2018",2 h 4 m,"['Crime', 'Drama', 'Mystery']",6,18,68,Generally Favorable,13,72,5,28,0,0,Generally Favorable,6.4,11,61,6,33,1,6
Hustle,Netflix,"Jun 3, 2022",1 h 57 m,"['Comedy', 'Drama', 'Sport']",1,8,68,Generally Favorable,31,76,9,22,1,2,Generally Favorable,7.0,89,77,19,16,8,7
Land Ho!,Sony Pictures Classics,"Jul 11, 2014",1 h 35 m,"['Adventure', 'Comedy']",2,3,68,Generally Favorable,21,68,10,32,0,0,Generally Favorable,6.2,8,67,2,17,2,17
Songs My Brothers Taught Me,Kino Lorber,"Mar 2, 2016",1 h 38 m,['Drama'],4,11,68,Generally Favorable,11,85,2,15,0,0,Generally Favorable,6.6,7,64,4,36,0,0
Thank You for Your Service,Universal Pictures,"Oct 27, 2017",1 h 49 m,"['Biography', 'Drama', 'War']",1,2,68,Generally Favorable,25,74,9,26,0,0,Generally Favorable,6.6,25,52,20,42,3,6
Imperium,Lionsgate Premiere,"Aug 19, 2016",1 h 49 m,"['Crime', 'Drama', 'Mystery', 'Thriller']",0,0,68,Generally Favorable,13,76,4,24,0,0,Generally Favorable,6.6,48,63,20,26,8,11
Language Lessons,Shout! Factory,"Sep 10, 2021",1 h 31 m,"['Comedy', 'Drama']",2,5,68,Generally Favorable,15,79,4,21,0,0,Generally Favorable,6.8,7,70,2,20,1,10
Europa Report,Magnet Releasing,"Aug 2, 2013",1 h 30 m,"['Drama', 'Mystery', 'Sci-Fi', 'Thriller']",1,3,68,Generally Favorable,18,72,7,28,0,0,Generally Favorable,6.9,114,67,42,25,15,9
Nobody Speak: Trials of the Free Press,Netflix,"Jun 23, 2017",1 h 35 m,['Documentary'],0,3,68,Generally Favorable,12,86,2,14,0,0,Generally Unfavorable,2.9,3,21,2,14,9,64
Police Story 2 (1988),Janus Films,"Mar 8, 2019",1 h 41 m,"['Action', 'Comedy', 'Crime', 'Thriller']",2,3,68,Generally Favorable,6,86,1,14,0,0,Generally Favorable,7.7,13,76,4,24,0,0
The Willoughbys,Netflix,"Apr 22, 2020",1 h 30 m,"['Animation', 'Adventure', 'Comedy', 'Family']",0,11,68,Generally Favorable,8,57,5,36,1,7,Generally Favorable,6.7,31,56,18,33,6,11
Fort Bliss,Phase 4 Films,"Sep 19, 2014",1 h 56 m,"['Drama', 'War']",3,3,68,Generally Favorable,9,69,3,23,1,8,Generally Favorable,6.6,5,63,2,25,1,13
