Title,Streaming Platform,Release Date,Duration,Genres,Award Wins,Award Nominations,Metascore,Critic Category,Critic positive counts,Critic positive percentage,Critic mixed counts,Critic mixed percentage,Critic negative counts,Critic negative percentage,User Score Category,User Score,User positive counts,User positive percentage,User mixed counts,User mixed percentage,User negative counts,User negative percentage
28 Years Later,Columbia Pictures,"Jun 20, 2025",2 h 6 m,"['Horror', 'Thriller']",3,15,77,Generally Favorable,46,82,9,16,1,2,Generally Favorable,6.2,267,58,86,19,107,23
Water,Fox Searchlight Pictures,"Apr 28, 2006",1 h 57 m,['Drama'],3,13,77,Generally Favorable,22,88,3,12,0,0,Generally Favorable,7.3,9,64,5,36,0,0
The Rape of Europa,Menemsha Films,"Sep 14, 2007",1 h 57 m,"['Documentary', 'History', 'War']",2,4,77,Generally Favorable,16,89,2,11,0,0,Universal Acclaim,8.2,5,100,0,0,0,0
Marlina the Murderer in Four Acts,Icarus Films,"Jun 22, 2018",1 h 33 m,"['Drama', 'Thriller', 'Western']",17,36,77,Generally Favorable,11,85,2,15,0,0,Generally Favorable,7.8,7,70,3,30,0,0
Monsoon Wedding,"Criterion Collection, The","Feb 22, 2002",1 h 54 m,"['Comedy', 'Drama', 'Romance']",3,5,77,Generally Favorable,32,89,4,11,0,0,Generally Favorable,7.5,13,76,4,24,0,0
Gerald's Game,Netflix,"Sep 29, 2017",1 h 43 m,"['Drama', 'Horror', 'Thriller']",3,7,77,Generally Favorable,10,83,2,17,0,0,Generally Favorable,6.5,131,64,40,20,33,16
Italian for Beginners,Buena Vista Home Entertainment (BVHE),"Jan 18, 2002",1 h 52 m,"['Comedy', 'Drama', 'Romance']",8,22,77,Generally Favorable,24,86,3,11,1,4,Generally Favorable,7.2,7,64,4,36,0,0
Code Black,Long Shot Factory,"Jun 20, 2014",1 h 18 m,"['Documentary', 'Drama']",3,3,77,Generally Favorable,14,93,1,7,0,0,Generally Favorable,6.1,4,50,2,25,2,25
The Wife,Sony Pictures Classics,"Aug 17, 2018",1 h 40 m,['Drama'],1,7,77,Generally Favorable,34,94,1,3,1,3,Generally Favorable,7.2,98,72,34,25,4,3
How to Train Your Dragon 2,Paramount Pictures,"Jun 13, 2014",1 h 42 m,"['Animation', 'Action', 'Adventure', 'Comedy', 'Family', 'Fantasy']",7,12,77,Generally Favorable,41,85,7,15,0,0,Universal Acclaim,8.3,774,88,72,8,33,4
Miles Davis: Birth of the Cool,Abramorama,"Aug 23, 2019",1 h 55 m,"['Documentary', 'Biography', 'History', 'Music']",2,3,76,Generally Favorable,8,100,0,0,0,0,Generally Favorable,8.0,9,90,1,10,0,0
Dheepan,Sundance Selects,"May 6, 2016",1 h 55 m,"['Crime', 'Drama']",2,13,76,Generally Favorable,25,86,4,14,0,0,Generally Favorable,6.6,24,67,8,22,4,11
Promare,GKIDS,"Sep 17, 2019",1 h 51 m,"['Animation', 'Action', 'Adventure', 'Comedy', 'Drama', 'Fantasy', 'Sci-Fi', 'Thriller']",1,5,76,Generally Favorable,9,100,0,0,0,0,Mixed or Average,6.0,44,59,12,16,19,25
The Disaster Artist,A24,"Dec 1, 2017",1 h 44 m,"['Biography', 'Comedy', 'Drama']",3,9,76,Generally Favorable,39,89,5,11,0,0,Generally Favorable,7.6,351,84,46,11,20,5
Bill Cunningham New York,Zeitgeist Films,"Mar 16, 2011",1 h 24 m,"['Documentary', 'Biography', 'History']",1,4,76,Generally Favorable,20,87,3,13,0,0,Universal Acclaim,8.5,10,91,1,9,0,0
Lo and Behold: Reveries of the Connected World,Magnolia Pictures,"Aug 19, 2016",1 h 38 m,['Documentary'],2,3,76,Generally Favorable,27,96,1,4,0,0,Generally Favorable,7.2,15,71,5,24,1,5
Service (Serbis),Regent Releasing,"Jan 30, 2009",1 h 30 m,"['Drama', 'Romance']",6,19,76,Generally Favorable,9,82,2,18,0,0,Mixed or Average,4.5,1,25,1,25,2,50
Kneecap,Sony Pictures Classics,"Aug 2, 2024",1 h 45 m,"['Comedy', 'Drama', 'Music']",12,37,76,Generally Favorable,27,82,6,18,0,0,Generally Favorable,7.5,44,80,8,15,3,5
Dig!,Palm Pictures,"Oct 1, 2004",1 h 47 m,"['Documentary', 'Music']",2,3,76,Generally Favorable,23,82,4,14,1,4,Universal Acclaim,8.4,4,80,1,20,0,0
Leaning Into the Wind,Magnolia Pictures,"Mar 9, 2018",1 h 37 m,['Documentary'],0,4,76,Generally Favorable,14,100,0,0,0,0,Generally Favorable,6.8,3,75,0,0,1,25
Broken Embraces,Sony Pictures Classics,"Nov 20, 2009",2 h 7 m,"['Drama', 'Romance', 'Thriller']",1,11,76,Generally Favorable,26,81,5,16,1,3,Generally Favorable,7.5,30,75,9,23,1,3
Kandahar,NEJ International Pictures,"Dec 14, 2001",1 h 21 m,['Drama'],3,4,76,Generally Favorable,25,89,3,11,0,0,Generally Favorable,7.5,9,82,1,9,1,9
Blue Caprice,Sundance Selects,"Sep 13, 2013",1 h 33 m,"['Biography', 'Crime', 'Drama']",2,9,76,Generally Favorable,20,80,5,20,0,0,Generally Favorable,7.0,23,74,6,19,2,6
I Like Movies,Freestyle Digital Media,"Nov 1, 2024",1 h 39 m,"['Comedy', 'Drama']",2,6,76,Generally Favorable,7,88,1,13,0,0,Mixed or Average,5.9,3,38,3,38,2,25
Tramps,Netflix,"Apr 21, 2017",1 h 22 m,"['Adventure', 'Romance']",0,1,76,Generally Favorable,10,91,1,9,0,0,Generally Favorable,6.6,6,55,4,36,1,9
Maggie's Plan,Sony Pictures Classics,"May 20, 2016",1 h 38 m,"['Comedy', 'Drama', 'Romance']",0,6,76,Generally Favorable,33,94,2,6,0,0,Generally Favorable,6.2,36,55,18,27,12,18
Adventureland,Miramax Films,"Apr 3, 2009",1 h 47 m,"['Comedy', 'Drama', 'Romance']",1,3,76,Generally Favorable,30,88,4,12,0,0,Generally Favorable,7.0,139,70,51,26,10,5
Every Little Step,Sony Pictures Classics,"Apr 17, 2009",1 h 36 m,"['Documentary', 'Music']",2,4,76,Generally Favorable,21,88,2,8,1,4,Generally Favorable,7.4,4,80,1,20,0,0
Testament of Youth,Sony Pictures Classics,"Jun 5, 2015",2 h 9 m,"['Biography', 'Drama', 'History', 'Romance', 'War']",3,5,76,Generally Favorable,29,85,5,15,0,0,Generally Favorable,7.3,44,76,9,16,5,9
Like Someone in Love,IFC Films,"Feb 15, 2013",1 h 49 m,['Drama'],1,5,76,Generally Favorable,22,71,9,29,0,0,Generally Favorable,7.1,25,71,5,14,5,14
Beats Rhymes & Life: The Travels of a Tribe Called Quest,Sony Pictures Classics,"Jul 8, 2011",1 h 35 m,"['Documentary', 'Music']",3,4,76,Generally Favorable,21,95,1,5,0,0,Universal Acclaim,8.1,16,89,0,0,2,11
Be Natural: The Untold Story of Alice Guy-Blaché,Zeitgeist Films,"Apr 19, 2019",1 h 43 m,"['Documentary', 'Biography', 'History']",8,12,76,Generally Favorable,12,92,1,8,0,0,Generally Favorable,7.6,4,80,0,0,1,20
Lady Macbeth,Roadside Attractions,"Jul 14, 2017",1 h 29 m,"['Drama', 'Romance']",6,26,76,Generally Favorable,31,84,5,14,1,3,Generally Favorable,6.9,38,63,17,28,5,8
Inside Man,Universal Pictures,"Mar 24, 2006",2 h 9 m,"['Crime', 'Drama', 'Mystery', 'Thriller']",2,10,76,Generally Favorable,37,95,2,5,0,0,Generally Favorable,7.4,206,80,48,19,4,2
Fifi Howls from Happiness,Music Box Films,"Aug 8, 2014",1 h 36 m,['Documentary'],2,3,76,Generally Favorable,10,91,1,9,0,0,Generally Favorable,7.2,4,67,2,33,0,0
Chico & Rita,Magic Light Pictures,"Feb 10, 2012",1 h 34 m,"['Animation', 'Crime', 'Drama', 'Music', 'Romance']",3,9,76,Generally Favorable,21,78,6,22,0,0,Generally Favorable,7.4,19,79,2,8,3,13
Something in the Air,IFC Films,"May 3, 2013",2 h 2 m,['Drama'],4,5,76,Generally Favorable,18,82,3,14,1,5,Generally Favorable,6.2,9,56,4,25,3,19
