Title,Streaming Platform,Release Date,Duration,Genres,Award Wins,Award Nominations,Metascore,Critic Category,Critic positive counts,Critic positive percentage,Critic mixed counts,Critic mixed percentage,Critic negative counts,Critic negative percentage,User Score Category,User Score,User positive counts,User positive percentage,User mixed counts,User mixed percentage,User negative counts,User negative percentage
Ash Is Purest White,Cohen Media Group,"Mar 15, 2019",2 h 16 m,"['Crime', 'Drama', 'Romance']",9,22,85,Universal Acclaim,35,97,1,3,0,0,Generally Favorable,7.1,35,80,5,11,4,9
The Treasure,Sundance Selects,"Jan 8, 2016",1 h 29 m,['Comedy'],2,9,85,Universal Acclaim,15,94,1,6,0,0,Generally Favorable,7.1,10,63,4,25,2,13
Night Will Fall,RatPac Documentary Films,"Nov 21, 2014",1 h 15 m,"['Documentary', 'History', 'War']",4,10,85,Universal Acclaim,10,100,0,0,0,0,Generally Favorable,7.9,13,87,1,7,1,7
Varda by Agnès,Cineart,"Nov 22, 2019",1 h 55 m,"['Documentary', 'Biography']",2,4,85,Universal Acclaim,23,96,1,4,0,0,Generally Favorable,8.0,7,100,0,0,0,0
I Am Another You,,"Sep 27, 2017",1 h 20 m,"['Documentary', 'Biography']",3,5,85,Universal Acclaim,9,90,1,10,0,0,Mixed or Average,6.0,4,67,0,0,2,33
The Rider,Sony Pictures Classics,"Apr 13, 2018",1 h 44 m,"['Drama', 'Western']",3,16,85,Universal Acclaim,42,98,1,2,0,0,Generally Favorable,7.5,108,78,17,12,13,9
Close Your Eyes,Film Movement,"Aug 23, 2024",2 h 49 m,['Drama'],9,33,85,Universal Acclaim,19,86,3,14,0,0,Generally Favorable,7.7,14,82,2,12,1,6
The Delinquents,MUBI,"Oct 18, 2023",3 h 9 m,"['Comedy', 'Crime', 'Drama']",6,13,85,Universal Acclaim,19,95,1,5,0,0,Generally Favorable,6.8,11,73,2,13,2,13
Eighth Grade,A24,"Jul 13, 2018",1 h 33 m,"['Comedy', 'Drama']",6,15,85,Universal Acclaim,46,94,3,6,0,0,Generally Favorable,7.9,273,84,30,9,21,6
Exit Through the Gift Shop,Producers Distribution Agency (PDA),"Apr 16, 2010",1 h 27 m,"['Documentary', 'Comedy', 'Crime', 'History']",3,10,85,Universal Acclaim,26,96,1,4,0,0,Universal Acclaim,8.1,119,90,7,5,6,5
Kings & Queen,Wellspring Media,"May 13, 2005",2 h 30 m,"['Comedy', 'Drama', 'Romance']",5,16,85,Universal Acclaim,26,100,0,0,0,0,Universal Acclaim,8.6,8,89,1,11,0,0
The Novice,IFC Films,"Dec 17, 2021",1 h 34 m,"['Drama', 'Sport']",4,9,85,Universal Acclaim,17,94,1,6,0,0,Generally Favorable,6.5,22,69,5,16,5,16
Girlhood,Strand Releasing,"Jan 30, 2015",1 h 53 m,['Drama'],3,11,85,Universal Acclaim,22,100,0,0,0,0,Generally Favorable,7.0,34,69,6,12,9,18
Offside,Sony Pictures Classics,"Mar 23, 2007",1 h 33 m,"['Comedy', 'Drama', 'Sport']",4,6,85,Universal Acclaim,25,100,0,0,0,0,Generally Favorable,7.9,16,80,2,10,2,10
The Ornithologist,Strand Releasing,"Jun 23, 2017",1 h 57 m,"['Adventure', 'Drama', 'Mystery']",5,20,85,Universal Acclaim,13,93,1,7,0,0,Mixed or Average,5.7,12,57,2,10,7,33
Tales of the Grim Sleeper,HBO Documentary Films,"Dec 26, 2014",1 h 50 m,"['Documentary', 'Crime']",1,5,85,Universal Acclaim,9,100,0,0,0,0,Mixed or Average,5.8,3,60,1,20,1,20
A Nice Indian Boy,Blue Harbor Entertainment,"Apr 4, 2025",1 h 36 m,"['Comedy', 'Drama', 'Romance']",2,4,85,Universal Acclaim,6,86,1,14,0,0,Generally Favorable,6.6,16,64,4,16,5,20
Knocked Up,Universal Pictures,"Jun 1, 2007",2 h 9 m,"['Comedy', 'Romance']",3,12,85,Universal Acclaim,37,97,1,3,0,0,Generally Favorable,7.1,197,72,60,22,18,7
Turtles Can Fly,IFC Films,"Feb 18, 2005",1 h 38 m,"['Drama', 'War']",6,9,85,Universal Acclaim,30,97,1,3,0,0,Universal Acclaim,8.1,36,86,1,2,5,12
The Departed,Warner Bros. Pictures,"Oct 6, 2006",2 h 31 m,"['Crime', 'Drama', 'Thriller']",10,25,85,Universal Acclaim,36,92,3,8,0,0,Universal Acclaim,8.7,1.1k,92,69,6,26,2
Festival Express,THINKFilm,"Jul 30, 2004",1 h 30 m,"['Documentary', 'History', 'Music']",1,3,85,Universal Acclaim,25,96,1,4,0,0,Generally Favorable,7.4,4,80,1,20,0,0
"Spring, Summer, Fall, Winter... and Spring",Sony Pictures Classics,"Apr 2, 2004",1 h 43 m,"['Drama', 'Romance']",7,9,85,Universal Acclaim,28,97,1,3,0,0,Universal Acclaim,8.3,78,94,4,5,1,1
April and the Extraordinary World,GKIDS,"Mar 25, 2016",1 h 45 m,"['Animation', 'Adventure', 'Comedy', 'Drama', 'Family', 'Fantasy', 'Mystery', 'Sci-Fi']",1,3,85,Universal Acclaim,16,94,1,6,0,0,Generally Favorable,7.4,41,77,6,11,6,11
Tinker Tailor Soldier Spy,Focus Features,"Dec 9, 2011",2 h 7 m,"['Drama', 'Mystery', 'Thriller']",9,24,85,Universal Acclaim,40,95,2,5,0,0,Generally Favorable,6.6,333,65,101,20,79,15
The Wild Robot,Universal Pictures,"Sep 27, 2024",1 h 42 m,"['Animation', 'Adventure', 'Family', 'Sci-Fi']",9,17,85,Universal Acclaim,45,98,1,2,0,0,Universal Acclaim,8.5,566,91,35,6,24,4
Support the Girls,Magnolia Pictures,"Aug 24, 2018",1 h 30 m,"['Comedy', 'Drama']",4,6,85,Universal Acclaim,32,94,2,6,0,0,Generally Favorable,6.8,33,67,11,22,5,10
Half Nelson,THINKFilm,"Aug 11, 2006",1 h 46 m,['Drama'],5,10,85,Universal Acclaim,30,97,1,3,0,0,Generally Favorable,7.3,95,77,24,19,5,4
Vincere,IFC Films,"Mar 19, 2010",2 h 8 m,"['Biography', 'Drama', 'Romance']",14,29,85,Universal Acclaim,22,92,2,8,0,0,Generally Favorable,7.3,12,75,3,19,1,6
Street Fight,Argot Pictures,"Feb 22, 2006",1 h 23 m,['Documentary'],3,5,85,Universal Acclaim,11,100,0,0,0,0,Generally Favorable,6.7,5,71,0,0,2,29
About Schmidt,New Line Cinema,"Dec 13, 2002",2 h 5 m,['Drama'],2,12,85,Universal Acclaim,34,85,6,15,0,0,Generally Favorable,7.8,94,80,21,18,3,3
Hero,Miramax Films,"Aug 27, 2004",1 h 39 m,"['Action', 'Adventure', 'Drama']",7,16,85,Universal Acclaim,42,100,0,0,0,0,Generally Favorable,7.9,152,85,17,10,9,5
Alcarràs,MUBI,"Jan 6, 2023",2 h,['Drama'],6,34,85,Universal Acclaim,19,100,0,0,0,0,Generally Favorable,7.7,16,80,4,20,0,0
"Hale County This Morning, This Evening",Cinema Guild,"Sep 14, 2018",1 h 16 m,['Documentary'],3,9,85,Universal Acclaim,17,89,2,11,0,0,Generally Favorable,6.1,5,38,6,46,2,15
The Taste of Things,IFC Films,"Dec 13, 2023",2 h 25 m,"['Drama', 'History', 'Romance']",1,8,85,Universal Acclaim,40,93,3,7,0,0,Generally Favorable,7.4,31,86,1,3,4,11
Neil Young: Heart of Gold,Paramount Vantage,"Feb 10, 2006",1 h 43 m,"['Documentary', 'Music']",1,3,85,Universal Acclaim,30,94,2,6,0,0,Generally Favorable,6.7,9,64,2,14,3,21
In Front of Your Face,The Cinema Guild,"May 6, 2022",1 h 25 m,['Drama'],2,7,85,Universal Acclaim,11,85,2,15,0,0,Mixed or Average,6.0,2,40,2,40,1,20
Passing,Netflix,"Oct 27, 2021",1 h 38 m,"['Drama', 'Mystery', 'Thriller']",3,23,85,Universal Acclaim,42,91,4,9,0,0,Generally Favorable,6.8,58,67,20,23,9,10
Mudbound,Netflix,"Nov 17, 2017",2 h 14 m,"['Drama', 'War']",3,15,85,Universal Acclaim,41,93,3,7,0,0,Generally Favorable,6.9,142,74,22,11,28,15
My Life as a Zucchini,GKIDS,"Feb 24, 2017",1 h 10 m,"['Animation', 'Comedy', 'Drama']",3,5,85,Universal Acclaim,28,100,0,0,0,0,Universal Acclaim,8.3,92,95,3,3,2,2
In the Same Breath,HBO Documentary Films,"Aug 13, 2021",1 h 35 m,['Documentary'],3,5,85,Universal Acclaim,13,100,0,0,0,0,Generally Favorable,7.9,8,80,2,20,0,0
Atlantis,Grasshopper Film,"Jan 22, 2021",1 h 48 m,"['Drama', 'War']",10,18,85,Universal Acclaim,10,100,0,0,0,0,Generally Favorable,6.8,7,70,2,20,1,10
Honeyland,Contact Film,"Jul 26, 2019",1 h 30 m,['Documentary'],4,11,85,Universal Acclaim,25,93,2,7,0,0,Universal Acclaim,8.7,55,93,4,7,0,0
The Beasts,Greenwich Entertainment,"Jul 28, 2023",2 h 17 m,"['Drama', 'Thriller']",21,39,85,Universal Acclaim,17,100,0,0,0,0,Generally Favorable,7.3,26,74,6,17,3,9
Hedwig and the Angry Inch,Fine Line Features,"Jul 20, 2001",1 h 35 m,"['Comedy', 'Drama', 'Music', 'Musical']",1,13,85,Universal Acclaim,27,93,2,7,0,0,Generally Favorable,7.9,39,87,4,9,2,4
Holy Motors,Indomina Group,"Oct 17, 2012",1 h 55 m,"['Drama', 'Fantasy']",6,25,85,Universal Acclaim,31,89,4,11,0,0,Generally Favorable,7.5,110,79,15,11,15,11
God's Own Country,Picturehouse Entertainment,"Oct 25, 2017",1 h 44 m,"['Drama', 'Romance']",7,20,85,Universal Acclaim,21,95,1,5,0,0,Universal Acclaim,8.3,93,88,9,8,4,4
