Title,Streaming Platform,Release Date,Duration,Genres,Award Wins,Award Nominations,Metascore,Critic Category,Critic positive counts,Critic positive percentage,Critic mixed counts,Critic mixed percentage,Critic negative counts,Critic negative percentage,User Score Category,User Score,User positive counts,User positive percentage,User mixed counts,User mixed percentage,User negative counts,User negative percentage
From Prada to Nada,Lionsgate,"Jan 28, 2011",1 h 47 m,"['Action', 'Comedy', 'Drama', 'Romance']",2,6,39,Generally Unfavorable,0,0,8,80,2,20,Mixed or Average,5.5,7,35,5,25,8,40
The Lucky One,Warner Bros. Pictures,"Apr 20, 2012",1 h 41 m,"['Drama', 'Mystery', 'Romance', 'War']",5,10,39,Generally Unfavorable,4,11,21,60,10,29,Mixed or Average,5.6,31,37,27,33,25,30
The Runner,Alchemy,"Aug 7, 2015",1 h 30 m,['Drama'],0,1,39,Generally Unfavorable,1,7,9,64,4,29,Mixed or Average,4.8,3,20,8,53,4,27
Unbroken: Path to Redemption,Pure Flix Entertainment,"Sep 14, 2018",1 h 38 m,"['Biography', 'Drama', 'History']",0,5,39,Generally Unfavorable,0,0,6,86,1,14,Mixed or Average,4.4,1,11,6,67,2,22
Krystal,Paladin,"Apr 13, 2018",1 h 30 m,"['Comedy', 'Drama']",0,0,39,Generally Unfavorable,1,10,6,60,3,30,Mixed or Average,5.5,3,50,1,17,2,33
The Dirt,Netflix,"Mar 22, 2019",1 h 47 m,"['Biography', 'Comedy', 'Drama', 'Music']",1,1,39,Generally Unfavorable,3,18,7,41,7,41,Generally Favorable,6.8,54,61,21,24,13,15
They're Watching,Amplify Releasing,"Mar 25, 2016",1 h 35 m,"['Comedy', 'Horror', 'Thriller']",0,0,39,Generally Unfavorable,1,14,1,14,5,71,Generally Favorable,6.9,4,44,5,56,0,0
Ava,Vertical Entertainment,"Sep 25, 2020",1 h 36 m,"['Action', 'Crime', 'Drama', 'Thriller']",0,0,39,Generally Unfavorable,1,11,5,56,3,33,Mixed or Average,4.5,10,20,25,49,16,31
After the Sunset,New Line Cinema,"Nov 12, 2004",1 h 37 m,"['Action', 'Comedy', 'Crime', 'Drama']",0,1,38,Generally Unfavorable,6,19,15,47,11,34,Mixed or Average,5.9,13,38,17,50,4,12
Pinocchio,Walt Disney Studios Motion Pictures,"Sep 8, 2022",1 h 45 m,"['Adventure', 'Comedy', 'Drama', 'Family', 'Fantasy', 'Musical']",1,9,38,Generally Unfavorable,7,19,19,51,11,30,Generally Unfavorable,2.3,23,11,36,17,153,72
The Mystery of Marilyn Monroe: The Unheard Tapes,Netflix,"Apr 27, 2022",1 h 41 m,"['Documentary', 'Biography', 'Crime']",0,2,38,Generally Unfavorable,1,10,5,50,4,40,Mixed or Average,4.5,1,17,2,33,3,50
Incoming,Netflix,"Aug 23, 2024",1 h 31 m,['Comedy'],0,1,38,Generally Unfavorable,1,13,5,63,2,25,Generally Favorable,6.5,9,47,6,32,4,21
Kettle of Fish,Screen Media Films,"Oct 6, 2006",1 h 37 m,"['Comedy', 'Romance']",0,1,38,Generally Unfavorable,0,0,4,57,3,43,Mixed or Average,5.8,2,50,0,0,2,50
The Mysteries of Pittsburgh,Peace Arch Entertainment Group,"Apr 10, 2009",1 h 35 m,"['Adventure', 'Comedy', 'Drama']",0,1,38,Generally Unfavorable,2,13,7,47,6,40,Mixed or Average,5.4,3,43,2,29,2,29
