Title,Streaming Platform,Release Date,Duration,Genres,Award Wins,Award Nominations,Metascore,Critic Category,Critic positive counts,Critic positive percentage,Critic mixed counts,Critic mixed percentage,Critic negative counts,Critic negative percentage,User Score Category,User Score,User positive counts,User positive percentage,User mixed counts,User mixed percentage,User negative counts,User negative percentage
Zombie Honeymoon,Showtime Networks,"Oct 4, 2005",1 h 23 m,"['Drama', 'Horror', 'Romance']",1,1,63,Generally Favorable,4,57,3,43,0,0,Mixed or Average,5.7,4,40,3,30,3,30
Pope Francis - A Man of His Word,Focus Features,"May 18, 2018",1 h 36 m,"['Documentary', 'Biography']",1,4,63,Generally Favorable,15,63,9,38,0,0,Mixed or Average,5.4,10,56,2,11,6,33
Piercing,,"Feb 1, 2019",1 h 21 m,"['Horror', 'Mystery', 'Thriller']",4,7,63,Generally Favorable,15,65,7,30,1,4,Generally Favorable,6.2,6,35,10,59,1,6
Path of Blood,Paladin,"Jul 13, 2018",1 h 32 m,['Documentary'],2,4,63,Generally Favorable,7,64,3,27,1,9,Generally Favorable,7.9,11,79,0,0,3,21
A Coffee In Berlin,Music Box Films,"Jun 13, 2014",1 h 23 m,"['Comedy', 'Drama']",8,17,63,Generally Favorable,11,58,7,37,1,5,Generally Favorable,6.4,9,60,3,20,3,20
Dear Frankie,Miramax Films,"Mar 4, 2005",1 h 45 m,"['Drama', 'Romance']",1,5,63,Generally Favorable,24,77,5,16,2,6,Generally Favorable,7.2,16,80,3,15,1,5
Violeta Went to Heaven,Kino Lorber,"Mar 29, 2013",1 h 50 m,"['Biography', 'Drama', 'Music']",8,11,63,Generally Favorable,4,57,3,43,0,0,Mixed or Average,4.5,2,50,0,0,2,50
Atomic Blonde,Focus Features,"Jul 28, 2017",1 h 55 m,"['Action', 'Thriller']",10,16,63,Generally Favorable,32,64,17,34,1,2,Generally Favorable,6.7,299,62,135,28,50,10
I'm Your Woman,Amazon Studios,"Dec 4, 2020",2 h,"['Crime', 'Drama']",2,4,63,Generally Favorable,14,56,9,36,2,8,Mixed or Average,5.9,12,57,6,29,3,14
Cachorro,TLA Releasing,"Nov 5, 2004",1 h 39 m,"['Comedy', 'Drama']",3,3,63,Generally Favorable,11,69,5,31,0,0,Mixed or Average,5.2,3,33,3,33,3,33
