Title,Streaming Platform,Release Date,Duration,Genres,Award Wins,Award Nominations,Metascore,Critic Category,Critic positive counts,Critic positive percentage,Critic mixed counts,Critic mixed percentage,Critic negative counts,Critic negative percentage,User Score Category,User Score,User positive counts,User positive percentage,User mixed counts,User mixed percentage,User negative counts,User negative percentage
The Art of War,Warner Bros. Pictures,"Aug 25, 2000",1 h 57 m,"['Action', 'Adventure', 'Crime', 'Thriller']",2,11,30,Generally Unfavorable,2,9,7,30,14,61,Mixed or Average,6.0,9,38,9,38,6,25
Queen of the Damned,Warner Bros. Pictures,"Feb 22, 2002",1 h 41 m,"['Drama', 'Fantasy', 'Horror']",0,3,30,Generally Unfavorable,2,6,15,48,14,45,Mixed or Average,5.6,23,40,19,33,15,26
Waiting...,Lions Gate Films,"Oct 7, 2005",1 h 34 m,['Comedy'],0,0,30,Generally Unfavorable,3,12,11,42,12,46,Generally Favorable,7.0,36,58,21,34,5,8
Expend4bles,Lionsgate,"Sep 22, 2023",1 h 43 m,"['Action', 'Adventure', 'Thriller', 'War']",2,9,30,Generally Unfavorable,3,9,11,33,19,58,Mixed or Average,4.6,27,28,33,35,35,37
White Noise,Universal Pictures,"Jan 7, 2005",1 h 41 m,"['Drama', 'Horror', 'Mystery', 'Thriller']",1,3,30,Generally Unfavorable,1,3,13,41,18,56,Mixed or Average,5.5,16,39,12,29,13,32
American Virgin,Granite Releasing,"Jun 2, 2000",1 h 28 m,['Comedy'],0,0,30,Generally Unfavorable,1,14,1,14,5,71,Mixed or Average,5.5,2,50,0,0,2,50
Exorcist: The Beginning,Warner Bros. Pictures,"Aug 20, 2004",1 h 54 m,"['Horror', 'Mystery', 'Thriller']",0,5,30,Generally Unfavorable,0,0,11,50,11,50,Mixed or Average,4.8,12,24,23,46,15,30
The Texas Chainsaw Massacre: The Beginning,New Line Cinema,"Oct 6, 2006",1 h 31 m,['Horror'],0,4,30,Generally Unfavorable,0,0,7,39,11,61,Generally Favorable,6.6,67,53,38,30,22,17
The Electric State,Netflix,"Mar 14, 2025",2 h 5 m,"['Action', 'Adventure', 'Comedy', 'Drama', 'Sci-Fi']",0,2,30,Generally Unfavorable,1,3,16,43,20,54,Mixed or Average,4.5,79,31,73,29,103,40
Basmati Blues,Shout! Factory,"Feb 9, 2018",1 h 46 m,"['Comedy', 'Musical', 'Romance']",0,0,30,Generally Unfavorable,0,0,5,45,6,55,Generally Unfavorable,2.6,3,20,2,13,10,67
Boo! A Madea Halloween,Lionsgate,"Oct 21, 2016",1 h 43 m,"['Comedy', 'Drama', 'Horror', 'Mystery']",0,5,30,Generally Unfavorable,1,7,6,43,7,50,Mixed or Average,5.0,19,43,7,16,18,41
Marmaduke,Twentieth Century Fox Film Corporation,"Jun 4, 2010",1 h 27 m,"['Comedy', 'Family']",0,3,30,Generally Unfavorable,0,0,11,50,11,50,Mixed or Average,4.8,18,32,18,32,20,36
Night Train to Lisbon,Wrekin Hill Entertainment,"Dec 6, 2013",1 h 51 m,"['Mystery', 'Romance', 'Thriller']",3,6,30,Generally Unfavorable,1,13,2,25,5,63,Generally Favorable,6.8,12,71,3,18,2,12
